Time,Scenario,Bandwidth_Mbps,Latency_ms,CPU_Usage_percent,Task_Size_MB,Existing_Decision,Decision_Score,Reasons
1,Stable,85,19.0,20.0,5.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
537,Stable,80,23.0,40.0,5.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
538,Stable,84,25.0,26.0,4.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
539,Stable,79,22.0,27.0,5.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
540,Stable,79,21.0,35.0,6.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
541,Stable,82,23.0,37.0,5.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
542,Stable,79,19.0,38.0,9.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
543,Stable,81,24.0,31.0,3.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
544,Stable,79,18.0,29.0,2.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
545,Stable,80,25.0,40.0,5.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
546,Stable,82,21.0,26.0,9.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
547,Stable,79,22.0,24.0,2.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
548,Stable,84,21.0,27.0,1.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
549,Stable,85,21.0,40.0,4.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
550,Stable,75,19.0,33.0,6.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
551,Stable,82,19.0,24.0,1.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
552,Stable,83,20.0,33.0,8.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
553,Stable,82,21.0,29.0,6.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
554,Stable,79,18.0,22.0,10.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
555,Stable,78,18.0,25.0,7.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
556,Stable,77,18.0,32.0,8.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
557,Stable,77,22.0,21.0,1.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
558,Stable,79,19.0,30.0,5.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
559,Stable,82,25.0,24.0,9.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
560,Stable,82,22.0,26.0,2.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
561,Stable,80,20.0,34.0,5.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
562,Stable,77,18.0,30.0,5.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
563,Stable,84,21.0,25.0,10.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
564,Stable,85,24.0,33.0,9.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
565,Stable,80,19.0,32.0,2.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
566,Stable,77,20.0,35.0,6.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
567,Stable,78,18.0,28.0,7.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
568,Stable,78,25.0,28.0,6.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
569,Stable,79,18.0,28.0,6.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
570,Stable,78,18.0,23.0,8.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
571,Stable,79,20.0,32.0,9.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
572,Stable,79,19.0,40.0,5.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
573,Stable,80,21.0,27.0,3.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
574,Stable,82,20.0,34.0,10.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
575,Stable,80,24.0,37.0,8.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
576,Stable,83,21.0,27.0,10.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
577,Stable,76,25.0,36.0,6.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
578,Stable,76,19.0,21.0,9.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
579,Stable,83,21.0,38.0,9.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
580,Stable,77,20.0,30.0,9.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
581,Stable,82,19.0,26.0,10.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
582,Stable,82,19.0,36.0,8.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
583,Stable,75,25.0,24.0,9.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
584,Stable,81,25.0,38.0,1.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
585,Stable,83,25.0,29.0,1.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
586,Stable,81,22.0,20.0,4.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
587,Stable,84,19.0,21.0,7.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
588,Stable,80,19.0,37.0,1.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
589,Stable,76,25.0,21.0,5.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
590,Stable,81,20.0,24.0,7.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
591,Stable,80,24.0,34.0,7.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
592,Stable,81,19.0,37.0,3.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
593,Stable,85,23.0,23.0,3.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
594,Stable,83,24.0,36.0,3.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
595,Stable,78,18.0,20.0,5.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
596,Stable,82,24.0,37.0,7.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
597,Stable,78,21.0,34.0,6.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
598,Stable,77,22.0,26.0,2.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
599,Stable,75,24.0,39.0,1.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
600,Stable,78,21.0,22.0,2.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
601,Stable,84,18.0,34.0,10.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
602,Stable,85,18.0,27.0,1.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
603,Stable,81,25.0,27.0,9.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
604,Stable,78,18.0,24.0,9.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
605,Stable,79,21.0,38.0,6.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
606,Stable,84,23.0,27.0,5.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
607,Stable,77,21.0,33.0,5.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
608,Stable,79,18.0,37.0,10.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
609,Stable,77,24.0,37.0,8.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
610,Stable,75,23.0,40.0,7.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
611,Stable,83,23.0,33.0,7.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
612,Stable,77,22.0,32.0,3.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
613,Stable,83,25.0,27.0,4.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
614,Stable,79,20.0,34.0,1.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
615,Stable,83,24.0,33.0,9.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
616,Stable,83,20.0,32.0,4.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
617,Stable,79,21.0,30.0,2.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
618,Stable,82,23.0,22.0,9.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
619,Stable,78,18.0,28.0,7.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
620,Stable,85,18.0,22.0,4.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
621,Stable,84,21.0,35.0,4.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
622,Stable,80,22.0,20.0,4.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
623,Stable,78,19.0,35.0,4.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
624,Stable,84,21.0,32.0,4.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
625,Stable,83,23.0,29.0,7.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
626,Stable,82,23.0,29.0,5.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
627,Stable,80,25.0,34.0,2.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
628,Stable,82,23.0,26.0,6.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
629,Stable,80,24.0,21.0,10.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
630,Stable,78,20.0,20.0,5.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
631,Stable,83,24.0,29.0,3.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
632,Stable,78,23.0,27.0,7.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
633,Stable,84,21.0,35.0,9.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
634,Stable,85,23.0,28.0,8.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
635,Stable,85,25.0,34.0,3.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
636,Stable,80,20.0,24.0,9.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
637,Stable,82,20.0,37.0,1.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
638,Stable,83,18.0,22.0,1.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
639,Stable,75,24.0,24.0,4.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
640,Stable,76,20.0,20.0,4.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
641,Stable,83,25.0,31.0,1.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
642,Stable,84,25.0,35.0,1.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
643,Stable,75,24.0,20.0,1.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
644,Stable,83,22.0,37.0,5.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
645,Stable,75,24.0,25.0,2.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
646,Stable,76,20.0,27.0,4.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
647,Stable,84,22.0,31.0,5.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
648,Stable,81,19.0,31.0,7.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
649,Stable,82,21.0,27.0,5.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
650,Stable,85,19.0,40.0,1.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
651,Stable,76,24.0,32.0,7.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
652,Stable,83,25.0,21.0,1.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
653,Stable,77,19.0,35.0,7.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
654,Stable,85,23.0,38.0,2.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
655,Stable,83,18.0,27.0,4.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
656,Stable,84,25.0,28.0,1.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
657,Stable,76,22.0,37.0,10.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
658,Stable,85,18.0,25.0,6.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
659,Stable,75,21.0,38.0,3.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
660,Stable,81,19.0,29.0,3.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
661,Stable,84,21.0,38.0,7.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
662,Stable,85,23.0,32.0,3.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
663,Stable,76,23.0,21.0,2.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
664,Stable,81,21.0,22.0,6.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
665,Stable,84,24.0,30.0,1.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
666,Stable,85,22.0,34.0,8.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
667,Stable,78,23.0,37.0,7.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
668,Stable,81,20.0,38.0,7.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
669,Stable,76,22.0,27.0,2.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
670,Stable,76,22.0,24.0,7.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
671,Stable,85,20.0,32.0,6.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
672,Stable,80,19.0,22.0,1.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
673,Stable,79,25.0,31.0,5.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
674,Stable,76,20.0,22.0,3.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
675,Stable,81,25.0,37.0,9.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
676,Stable,83,24.0,23.0,1.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
677,Stable,76,23.0,37.0,2.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
678,Stable,84,23.0,32.0,1.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
679,Stable,79,24.0,32.0,2.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
680,Stable,83,21.0,38.0,9.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
681,Stable,77,24.0,25.0,3.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
682,Stable,79,22.0,28.0,8.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
683,Stable,77,19.0,25.0,7.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
684,Stable,79,24.0,29.0,8.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
685,Stable,76,23.0,28.0,4.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
686,Stable,85,25.0,39.0,10.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
687,Stable,78,25.0,23.0,3.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
688,Stable,79,18.0,32.0,6.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
689,Stable,84,24.0,30.0,8.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
690,Stable,80,24.0,40.0,10.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
691,Stable,77,22.0,30.0,10.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
692,Stable,78,25.0,30.0,3.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
693,Stable,81,23.0,29.0,8.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
694,Stable,84,21.0,30.0,7.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
695,Stable,79,24.0,31.0,2.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
696,Stable,84,21.0,38.0,9.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
697,Stable,77,18.0,34.0,4.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
698,Stable,82,22.0,22.0,7.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
699,Stable,85,25.0,24.0,5.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
700,Stable,78,22.0,24.0,7.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
701,Stable,81,19.0,34.0,10.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
702,Stable,82,24.0,37.0,9.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
703,Stable,81,18.0,31.0,9.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
704,Stable,84,19.0,23.0,4.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
705,Stable,85,23.0,25.0,10.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
706,Stable,75,24.0,30.0,7.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
707,Stable,76,18.0,23.0,5.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
708,Stable,78,21.0,34.0,6.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
709,Stable,81,25.0,38.0,9.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
710,Stable,77,23.0,20.0,8.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
711,Stable,76,22.0,33.0,2.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
712,Stable,76,20.0,31.0,5.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
713,Stable,80,25.0,26.0,9.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
714,Stable,82,23.0,35.0,2.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
715,Stable,82,25.0,30.0,2.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
716,Stable,79,18.0,23.0,1.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
717,Stable,80,19.0,25.0,4.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
718,Stable,83,20.0,37.0,3.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
719,Stable,80,24.0,34.0,4.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
720,Stable,81,20.0,25.0,7.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
721,Stable,81,18.0,39.0,4.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
722,Stable,82,24.0,32.0,1.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
723,Stable,78,21.0,28.0,2.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
724,Stable,84,19.0,37.0,3.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
725,Stable,80,23.0,26.0,8.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
726,Stable,76,22.0,35.0,9.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
727,Stable,85,23.0,39.0,7.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
728,Stable,84,24.0,38.0,2.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
729,Stable,80,23.0,34.0,10.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
730,Stable,77,22.0,39.0,10.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
731,Stable,76,20.0,30.0,2.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
732,Stable,78,22.0,23.0,3.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
733,Stable,80,20.0,36.0,7.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
734,Stable,81,20.0,38.0,7.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
735,Stable,81,20.0,35.0,9.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
736,Stable,85,20.0,37.0,3.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
737,Stable,82,22.0,24.0,3.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
738,Stable,80,25.0,39.0,1.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
739,Stable,80,18.0,35.0,3.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
740,Stable,78,24.0,37.0,9.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
741,Stable,85,25.0,33.0,8.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
742,Stable,81,25.0,35.0,3.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
743,Stable,76,18.0,27.0,5.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
744,Stable,75,22.0,27.0,9.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
745,Stable,79,20.0,34.0,10.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
746,Stable,82,19.0,38.0,2.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
747,Stable,79,23.0,37.0,1.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
748,Stable,82,21.0,33.0,2.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
749,Stable,85,21.0,29.0,1.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
750,Stable,82,22.0,31.0,2.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
751,Stable,82,19.0,27.0,4.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
752,Stable,84,23.0,39.0,7.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
753,Stable,77,20.0,26.0,4.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
754,Stable,75,23.0,37.0,5.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
755,Stable,84,20.0,30.0,5.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
756,Stable,79,22.0,36.0,2.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
757,Stable,77,24.0,21.0,5.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
758,Stable,85,20.0,24.0,4.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
759,Stable,77,23.0,27.0,7.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
760,Stable,82,20.0,38.0,5.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
761,Stable,85,24.0,32.0,8.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
762,Stable,76,19.0,32.0,9.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
763,Stable,79,23.0,34.0,8.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
764,Stable,80,18.0,22.0,8.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
765,Stable,85,23.0,22.0,9.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
766,Stable,81,21.0,33.0,4.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
767,Stable,82,22.0,30.0,5.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
768,Stable,80,20.0,38.0,8.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
769,Stable,80,18.0,21.0,2.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
770,Stable,85,25.0,20.0,2.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
771,Stable,77,25.0,34.0,1.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
772,Stable,81,21.0,24.0,5.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
773,Stable,77,22.0,22.0,6.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
774,Stable,79,19.0,31.0,3.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
775,Stable,75,24.0,40.0,5.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
776,Stable,78,24.0,40.0,2.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
777,Stable,76,18.0,26.0,8.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
778,Stable,76,20.0,38.0,4.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
779,Stable,83,25.0,20.0,1.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
780,Stable,80,19.0,33.0,3.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
781,Stable,82,19.0,27.0,7.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
782,Stable,76,19.0,23.0,6.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
783,Stable,80,22.0,24.0,7.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
784,Stable,77,20.0,22.0,9.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
785,Stable,84,18.0,39.0,3.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
786,Stable,82,23.0,26.0,3.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
787,Stable,81,25.0,26.0,2.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
788,Stable,76,20.0,23.0,10.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
789,Stable,81,23.0,33.0,6.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
790,Stable,77,21.0,28.0,2.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
791,Stable,78,22.0,20.0,5.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
792,Stable,78,21.0,32.0,5.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
793,Stable,85,18.0,27.0,8.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
794,Stable,81,19.0,27.0,8.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
795,Stable,85,19.0,36.0,1.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
796,Stable,80,23.0,24.0,7.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
797,Stable,84,24.0,31.0,9.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
798,Stable,85,20.0,35.0,2.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
799,Stable,75,19.0,20.0,5.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
800,Stable,78,18.0,21.0,7.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
801,Stable,83,22.0,40.0,9.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
802,Stable,81,24.0,32.0,2.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
803,Stable,85,20.0,28.0,2.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
804,Stable,79,19.0,36.0,4.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
805,Stable,77,23.0,32.0,10.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
806,Stable,85,19.0,29.0,7.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
807,Stable,78,18.0,27.0,2.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
808,Stable,81,19.0,34.0,10.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
809,Stable,84,18.0,29.0,3.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
810,Stable,76,18.0,24.0,1.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
811,Stable,77,25.0,31.0,9.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
812,Stable,83,22.0,25.0,6.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
813,Stable,77,22.0,23.0,1.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
814,Stable,80,24.0,28.0,9.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
815,Stable,76,22.0,38.0,2.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
816,Stable,82,25.0,36.0,6.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
817,Stable,75,25.0,38.0,3.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
818,Stable,80,20.0,28.0,2.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
819,Stable,84,19.0,27.0,9.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
820,Stable,75,18.0,20.0,4.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
821,Stable,75,25.0,31.0,7.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
822,Stable,77,20.0,21.0,9.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
823,Stable,85,24.0,27.0,6.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
