Time,Scenario,Bandwidth_Mbps,Latency_ms,CPU_Usage_percent,Task_Size_MB,Existing_Decision,Proposed_Decision,Proposed_Status,Proposed_Predicted_Latency_ms
704,Stable,84.0,19.0,23.0,4.0,EDGE,EDGE,prediction_complete,23.51
705,Stable,85.0,23.0,25.0,10.0,EDGE,EDGE,prediction_complete,22.71
706,Stable,75.0,24.0,30.0,7.0,EDGE,EDGE,prediction_complete,22.78
707,Stable,76.0,18.0,23.0,5.0,EDGE,EDGE,prediction_complete,22.62
708,Stable,78.0,21.0,34.0,6.0,EDGE,EDGE,prediction_complete,23.19
709,Stable,81.0,25.0,38.0,9.0,EDGE,EDGE,prediction_complete,23.6
710,Stable,77.0,23.0,20.0,8.0,EDGE,EDGE,prediction_complete,23.22
711,Stable,76.0,22.0,33.0,2.0,EDGE,EDGE,prediction_complete,24.1
712,Stable,76.0,20.0,31.0,5.0,EDGE,EDGE,prediction_complete,24.37
713,Stable,80.0,25.0,26.0,9.0,EDGE,EDGE,prediction_complete,24.17
714,Stable,82.0,23.0,35.0,2.0,EDGE,EDGE,prediction_complete,25.12
715,Stable,82.0,25.0,30.0,2.0,EDGE,EDGE,prediction_complete,25.97
716,Stable,79.0,18.0,23.0,1.0,EDGE,EDGE,prediction_complete,25.67
717,Stable,80.0,19.0,25.0,4.0,EDGE,EDGE,prediction_complete,25.32
718,Stable,83.0,20.0,37.0,3.0,EDGE,EDGE,prediction_complete,25.61
719,Stable,80.0,24.0,34.0,4.0,EDGE,EDGE,prediction_complete,25.7
720,Stable,81.0,20.0,25.0,7.0,EDGE,EDGE,prediction_complete,25.13
721,Stable,81.0,18.0,39.0,4.0,EDGE,EDGE,prediction_complete,25.3
722,Stable,82.0,24.0,32.0,1.0,EDGE,EDGE,prediction_complete,25.73
723,Stable,78.0,21.0,28.0,2.0,EDGE,EDGE,prediction_complete,25.9
724,Stable,84.0,19.0,37.0,3.0,EDGE,EDGE,prediction_complete,26.09
725,Stable,80.0,23.0,26.0,8.0,EDGE,EDGE,prediction_complete,25.23
726,Stable,76.0,22.0,35.0,9.0,EDGE,EDGE,prediction_complete,24.95
727,Stable,85.0,23.0,39.0,7.0,EDGE,EDGE,prediction_complete,25.3
728,Stable,84.0,24.0,38.0,2.0,EDGE,EDGE,prediction_complete,25.94
729,Stable,80.0,23.0,34.0,10.0,EDGE,EDGE,prediction_complete,25.33
730,Stable,77.0,22.0,39.0,10.0,EDGE,EDGE,prediction_complete,25.39
731,Stable,76.0,20.0,30.0,2.0,EDGE,EDGE,prediction_complete,25.71
732,Stable,78.0,22.0,23.0,3.0,EDGE,EDGE,prediction_complete,25.51
733,Stable,80.0,20.0,36.0,7.0,EDGE,EDGE,prediction_complete,25.42
734,Stable,81.0,20.0,38.0,7.0,EDGE,EDGE,prediction_complete,25.47
735,Stable,81.0,20.0,35.0,9.0,EDGE,EDGE,prediction_complete,25.32
736,Stable,85.0,20.0,37.0,3.0,EDGE,EDGE,prediction_complete,25.77
737,Stable,82.0,22.0,24.0,3.0,EDGE,EDGE,prediction_complete,25.54
738,Stable,80.0,25.0,39.0,1.0,EDGE,EDGE,prediction_complete,26.11
739,Stable,80.0,18.0,35.0,3.0,EDGE,EDGE,prediction_complete,26.29
740,Stable,78.0,24.0,37.0,9.0,EDGE,EDGE,prediction_complete,25.87
741,Stable,85.0,25.0,33.0,8.0,EDGE,EDGE,prediction_complete,25.48
742,Stable,81.0,25.0,35.0,3.0,EDGE,EDGE,prediction_complete,25.88
743,Stable,76.0,18.0,27.0,5.0,EDGE,EDGE,prediction_complete,25.54
744,Stable,75.0,22.0,27.0,9.0,EDGE,EDGE,prediction_complete,24.93
745,Stable,79.0,20.0,34.0,10.0,EDGE,EDGE,prediction_complete,24.82
746,Stable,82.0,19.0,38.0,2.0,EDGE,EDGE,prediction_complete,25.63
747,Stable,79.0,23.0,37.0,1.0,EDGE,EDGE,prediction_complete,26.79
748,Stable,82.0,21.0,33.0,2.0,EDGE,EDGE,prediction_complete,26.67
749,Stable,85.0,21.0,29.0,1.0,EDGE,EDGE,prediction_complete,26.53
750,Stable,82.0,22.0,31.0,2.0,EDGE,EDGE,prediction_complete,26.45
751,Stable,82.0,19.0,27.0,4.0,EDGE,EDGE,prediction_complete,25.94
752,Stable,84.0,23.0,39.0,7.0,EDGE,EDGE,prediction_complete,25.69
753,Stable,77.0,20.0,26.0,4.0,EDGE,EDGE,prediction_complete,25.33
754,Stable,75.0,23.0,37.0,5.0,EDGE,EDGE,prediction_complete,25.6
755,Stable,84.0,20.0,30.0,5.0,EDGE,EDGE,prediction_complete,25.62
756,Stable,79.0,22.0,36.0,2.0,EDGE,EDGE,prediction_complete,26.05
757,Stable,77.0,24.0,21.0,5.0,EDGE,EDGE,prediction_complete,25.33
758,Stable,85.0,20.0,24.0,4.0,EDGE,EDGE,prediction_complete,25.03
759,Stable,77.0,23.0,27.0,7.0,EDGE,EDGE,prediction_complete,24.59
760,Stable,82.0,20.0,38.0,5.0,EDGE,EDGE,prediction_complete,24.92
761,Stable,85.0,24.0,32.0,8.0,EDGE,EDGE,prediction_complete,24.75
762,Stable,76.0,19.0,32.0,9.0,EDGE,EDGE,prediction_complete,24.36
763,Stable,79.0,23.0,34.0,8.0,EDGE,EDGE,prediction_complete,24.38
764,Stable,80.0,18.0,22.0,8.0,EDGE,EDGE,prediction_complete,23.69
765,Stable,85.0,23.0,22.0,9.0,EDGE,EDGE,prediction_complete,23.24
766,Stable,81.0,21.0,33.0,4.0,EDGE,EDGE,prediction_complete,23.48
767,Stable,82.0,22.0,30.0,5.0,EDGE,EDGE,prediction_complete,23.67
768,Stable,80.0,20.0,38.0,8.0,EDGE,EDGE,prediction_complete,23.89
769,Stable,80.0,18.0,21.0,2.0,EDGE,EDGE,prediction_complete,23.9
770,Stable,85.0,25.0,20.0,2.0,EDGE,EDGE,prediction_complete,23.78
771,Stable,77.0,25.0,34.0,1.0,EDGE,EDGE,prediction_complete,24.46
772,Stable,81.0,21.0,24.0,5.0,EDGE,EDGE,prediction_complete,24.16
773,Stable,77.0,22.0,22.0,6.0,EDGE,EDGE,prediction_complete,23.66
774,Stable,79.0,19.0,31.0,3.0,EDGE,EDGE,prediction_complete,24.23
775,Stable,75.0,24.0,40.0,5.0,EDGE,EDGE,prediction_complete,25.1
776,Stable,78.0,24.0,40.0,2.0,EDGE,EDGE,prediction_complete,26.02
777,Stable,76.0,18.0,26.0,8.0,EDGE,EDGE,prediction_complete,25.45
778,Stable,76.0,20.0,38.0,4.0,EDGE,EDGE,prediction_complete,26.03
779,Stable,83.0,25.0,20.0,1.0,EDGE,EDGE,prediction_complete,26.2
780,Stable,80.0,19.0,33.0,3.0,EDGE,EDGE,prediction_complete,26.44
781,Stable,82.0,19.0,27.0,7.0,EDGE,EDGE,prediction_complete,25.57
782,Stable,76.0,19.0,23.0,6.0,EDGE,EDGE,prediction_complete,25.06
783,Stable,80.0,22.0,24.0,7.0,EDGE,EDGE,prediction_complete,24.62
784,Stable,77.0,20.0,22.0,9.0,EDGE,EDGE,prediction_complete,23.82
785,Stable,84.0,18.0,39.0,3.0,EDGE,EDGE,prediction_complete,24.37
786,Stable,82.0,23.0,26.0,3.0,EDGE,EDGE,prediction_complete,24.24
787,Stable,81.0,25.0,26.0,2.0,EDGE,EDGE,prediction_complete,24.52
788,Stable,76.0,20.0,23.0,10.0,EDGE,EDGE,prediction_complete,23.4
789,Stable,81.0,23.0,33.0,6.0,EDGE,EDGE,prediction_complete,23.72
790,Stable,77.0,21.0,28.0,2.0,EDGE,EDGE,prediction_complete,24.06
791,Stable,78.0,22.0,20.0,5.0,EDGE,EDGE,prediction_complete,23.89
792,Stable,78.0,21.0,32.0,5.0,EDGE,EDGE,prediction_complete,24.17
793,Stable,85.0,18.0,27.0,8.0,EDGE,EDGE,prediction_complete,23.94
794,Stable,81.0,19.0,27.0,8.0,EDGE,EDGE,prediction_complete,23.71
795,Stable,85.0,19.0,36.0,1.0,EDGE,EDGE,prediction_complete,24.45
796,Stable,80.0,23.0,24.0,7.0,EDGE,EDGE,prediction_complete,23.92
797,Stable,84.0,24.0,31.0,9.0,EDGE,EDGE,prediction_complete,23.53
798,Stable,85.0,20.0,35.0,2.0,EDGE,EDGE,prediction_complete,24.31
799,Stable,75.0,19.0,20.0,5.0,EDGE,EDGE,prediction_complete,23.73
800,Stable,78.0,18.0,21.0,7.0,EDGE,EDGE,prediction_complete,23.03
801,Stable,83.0,22.0,40.0,9.0,EDGE,EDGE,prediction_complete,23.35
802,Stable,81.0,24.0,32.0,2.0,EDGE,EDGE,prediction_complete,23.97
803,Stable,85.0,20.0,28.0,2.0,EDGE,EDGE,prediction_complete,24.49
804,Stable,79.0,19.0,36.0,4.0,EDGE,EDGE,prediction_complete,24.86
805,Stable,77.0,23.0,32.0,10.0,EDGE,EDGE,prediction_complete,24.26
806,Stable,85.0,19.0,29.0,7.0,EDGE,EDGE,prediction_complete,24.21
807,Stable,78.0,18.0,27.0,2.0,EDGE,EDGE,prediction_complete,24.54
808,Stable,81.0,19.0,34.0,10.0,EDGE,EDGE,prediction_complete,24.08
809,Stable,84.0,18.0,29.0,3.0,EDGE,EDGE,prediction_complete,24.39
810,Stable,76.0,18.0,24.0,1.0,EDGE,EDGE,prediction_complete,24.62
811,Stable,77.0,25.0,31.0,9.0,EDGE,EDGE,prediction_complete,24.24
812,Stable,83.0,22.0,25.0,6.0,EDGE,EDGE,prediction_complete,23.97
813,Stable,77.0,22.0,23.0,1.0,EDGE,EDGE,prediction_complete,24.25
814,Stable,80.0,24.0,28.0,9.0,EDGE,EDGE,prediction_complete,23.68
815,Stable,76.0,22.0,38.0,2.0,EDGE,EDGE,prediction_complete,24.64
816,Stable,82.0,25.0,36.0,6.0,EDGE,EDGE,prediction_complete,25.16
817,Stable,75.0,25.0,38.0,3.0,EDGE,EDGE,prediction_complete,25.81
818,Stable,80.0,20.0,28.0,2.0,EDGE,EDGE,prediction_complete,26.17
819,Stable,84.0,19.0,27.0,9.0,EDGE,EDGE,prediction_complete,25.44
820,Stable,75.0,18.0,20.0,4.0,EDGE,EDGE,prediction_complete,24.88
821,Stable,75.0,25.0,31.0,7.0,EDGE,EDGE,prediction_complete,24.83
822,Stable,77.0,20.0,21.0,9.0,EDGE,EDGE,prediction_complete,24.27
823,Stable,85.0,24.0,27.0,6.0,EDGE,EDGE,prediction_complete,24.21
824,Stable,78.0,24.0,30.0,5.0,EDGE,EDGE,prediction_complete,24.46
825,Stable,76.0,23.0,23.0,9.0,EDGE,EDGE,prediction_complete,23.64
826,Stable,85.0,18.0,25.0,4.0,EDGE,EDGE,prediction_complete,23.72
827,Stable,83.0,18.0,32.0,2.0,EDGE,EDGE,prediction_complete,23.94
828,Stable,82.0,22.0,29.0,6.0,EDGE,EDGE,prediction_complete,23.73
829,Stable,76.0,25.0,20.0,6.0,EDGE,EDGE,prediction_complete,23.47
830,Stable,78.0,22.0,38.0,5.0,EDGE,EDGE,prediction_complete,24.0
831,Stable,84.0,21.0,34.0,6.0,EDGE,EDGE,prediction_complete,24.13
832,Stable,84.0,25.0,26.0,9.0,EDGE,EDGE,prediction_complete,23.81
833,Stable,78.0,20.0,20.0,7.0,EDGE,EDGE,prediction_complete,23.37
834,Stable,75.0,21.0,37.0,6.0,EDGE,EDGE,prediction_complete,23.71
835,Stable,85.0,18.0,30.0,1.0,EDGE,EDGE,prediction_complete,24.51
836,Stable,85.0,24.0,29.0,2.0,EDGE,EDGE,prediction_complete,24.96
837,Stable,78.0,21.0,33.0,8.0,EDGE,EDGE,prediction_complete,24.52
838,Stable,75.0,20.0,28.0,2.0,EDGE,EDGE,prediction_complete,24.83
839,Stable,75.0,21.0,36.0,7.0,EDGE,EDGE,prediction_complete,24.93
840,Stable,80.0,25.0,22.0,10.0,EDGE,EDGE,prediction_complete,24.06
841,Stable,76.0,20.0,40.0,7.0,EDGE,EDGE,prediction_complete,24.57
842,Stable,76.0,18.0,33.0,3.0,EDGE,EDGE,prediction_complete,25.35
843,Stable,78.0,22.0,28.0,6.0,EDGE,EDGE,prediction_complete,25.43
844,Stable,81.0,23.0,30.0,8.0,EDGE,EDGE,prediction_complete,25.08
845,Stable,79.0,21.0,22.0,4.0,EDGE,EDGE,prediction_complete,24.92
846,Stable,77.0,19.0,24.0,2.0,EDGE,EDGE,prediction_complete,24.97
847,Stable,77.0,25.0,34.0,6.0,EDGE,EDGE,prediction_complete,25.11
848,Stable,81.0,19.0,37.0,6.0,EDGE,EDGE,prediction_complete,25.18
849,Stable,78.0,25.0,29.0,8.0,EDGE,EDGE,prediction_complete,24.76
850,Stable,79.0,19.0,22.0,3.0,EDGE,EDGE,prediction_complete,24.88
851,Stable,85.0,22.0,39.0,1.0,EDGE,EDGE,prediction_complete,25.66
852,Stable,78.0,23.0,24.0,2.0,EDGE,EDGE,prediction_complete,25.46
853,Stable,78.0,23.0,32.0,9.0,EDGE,EDGE,prediction_complete,24.96
854,Stable,75.0,22.0,28.0,3.0,EDGE,EDGE,prediction_complete,25.25
855,Stable,75.0,24.0,34.0,9.0,EDGE,EDGE,prediction_complete,25.15
856,Stable,83.0,21.0,23.0,8.0,EDGE,EDGE,prediction_complete,24.61
857,Stable,76.0,20.0,23.0,1.0,EDGE,EDGE,prediction_complete,24.76
858,Stable,75.0,21.0,24.0,4.0,EDGE,EDGE,prediction_complete,24.67
859,Stable,81.0,23.0,40.0,2.0,EDGE,EDGE,prediction_complete,25.69
860,Stable,84.0,22.0,22.0,1.0,EDGE,EDGE,prediction_complete,25.83
861,Stable,76.0,21.0,40.0,8.0,EDGE,EDGE,prediction_complete,25.53
862,Stable,77.0,19.0,30.0,2.0,EDGE,EDGE,prediction_complete,25.74
863,Stable,75.0,25.0,21.0,3.0,EDGE,EDGE,prediction_complete,25.56
864,Stable,84.0,24.0,32.0,8.0,EDGE,EDGE,prediction_complete,25.16
865,Stable,75.0,24.0,33.0,3.0,EDGE,EDGE,prediction_complete,25.56
866,Stable,80.0,21.0,25.0,5.0,EDGE,EDGE,prediction_complete,25.57
867,Stable,79.0,25.0,24.0,1.0,EDGE,EDGE,prediction_complete,25.74
868,Stable,84.0,21.0,40.0,5.0,EDGE,EDGE,prediction_complete,26.03
869,Stable,82.0,24.0,37.0,8.0,EDGE,EDGE,prediction_complete,25.69
870,Stable,75.0,19.0,28.0,7.0,EDGE,EDGE,prediction_complete,25.29
871,Stable,77.0,24.0,26.0,9.0,EDGE,EDGE,prediction_complete,24.66
872,Stable,78.0,18.0,32.0,6.0,EDGE,EDGE,prediction_complete,24.67
873,Stable,82.0,25.0,31.0,10.0,EDGE,EDGE,prediction_complete,24.37
874,Stable,83.0,23.0,32.0,5.0,EDGE,EDGE,prediction_complete,24.76
875,Stable,77.0,18.0,30.0,10.0,EDGE,EDGE,prediction_complete,24.09
876,Stable,78.0,18.0,28.0,1.0,EDGE,EDGE,prediction_complete,24.65
877,Stable,82.0,23.0,38.0,4.0,EDGE,EDGE,prediction_complete,25.26
878,Stable,77.0,19.0,27.0,4.0,EDGE,EDGE,prediction_complete,24.9
879,Stable,79.0,18.0,27.0,10.0,EDGE,EDGE,prediction_complete,24.16
880,Stable,81.0,23.0,25.0,3.0,EDGE,EDGE,prediction_complete,24.31
881,Stable,78.0,23.0,31.0,10.0,EDGE,EDGE,prediction_complete,23.96
882,Stable,75.0,23.0,38.0,10.0,EDGE,EDGE,prediction_complete,24.04
883,Stable,77.0,21.0,35.0,9.0,EDGE,EDGE,prediction_complete,24.33
884,Stable,79.0,20.0,35.0,1.0,EDGE,EDGE,prediction_complete,25.35
885,Stable,76.0,18.0,27.0,10.0,EDGE,EDGE,prediction_complete,24.77
886,Stable,78.0,18.0,36.0,8.0,EDGE,EDGE,prediction_complete,24.8
887,Stable,75.0,23.0,39.0,4.0,EDGE,EDGE,prediction_complete,25.62
888,Stable,77.0,23.0,25.0,6.0,EDGE,EDGE,prediction_complete,25.33
889,Stable,75.0,18.0,24.0,10.0,EDGE,EDGE,prediction_complete,24.67
890,Stable,77.0,19.0,36.0,6.0,EDGE,EDGE,prediction_complete,25.03
891,Stable,76.0,23.0,32.0,10.0,EDGE,EDGE,prediction_complete,24.9
892,Stable,76.0,23.0,29.0,6.0,EDGE,EDGE,prediction_complete,24.94
893,Stable,77.0,20.0,33.0,8.0,EDGE,EDGE,prediction_complete,24.97
894,Stable,85.0,23.0,25.0,9.0,EDGE,EDGE,prediction_complete,24.36
895,Stable,84.0,23.0,27.0,10.0,EDGE,EDGE,prediction_complete,24.0
896,Stable,77.0,24.0,29.0,5.0,EDGE,EDGE,prediction_complete,24.11
897,Stable,77.0,20.0,20.0,10.0,EDGE,EDGE,prediction_complete,23.05
898,Stable,81.0,18.0,25.0,10.0,EDGE,EDGE,prediction_complete,22.62
899,Stable,80.0,21.0,40.0,10.0,EDGE,EDGE,prediction_complete,23.1
900,Stable,76.0,25.0,24.0,6.0,EDGE,EDGE,prediction_complete,22.94
901,Stable,76.0,21.0,31.0,6.0,EDGE,EDGE,prediction_complete,23.23
902,Stable,77.0,19.0,40.0,6.0,EDGE,EDGE,prediction_complete,23.93
903,Stable,82.0,18.0,28.0,4.0,EDGE,EDGE,prediction_complete,24.11
904,Stable,78.0,19.0,31.0,5.0,EDGE,EDGE,prediction_complete,24.43
905,Stable,76.0,18.0,21.0,7.0,EDGE,EDGE,prediction_complete,24.07
906,Stable,82.0,24.0,25.0,7.0,EDGE,EDGE,prediction_complete,23.75
907,Stable,82.0,24.0,31.0,9.0,EDGE,EDGE,prediction_complete,23.77
908,Stable,81.0,19.0,35.0,10.0,EDGE,EDGE,prediction_complete,23.83
909,Stable,85.0,21.0,25.0,8.0,EDGE,EDGE,prediction_complete,23.47
910,Stable,76.0,18.0,29.0,1.0,EDGE,EDGE,prediction_complete,23.93
911,Stable,80.0,22.0,23.0,2.0,EDGE,EDGE,prediction_complete,23.99
912,Stable,80.0,20.0,32.0,3.0,EDGE,EDGE,prediction_complete,24.17
913,Stable,76.0,19.0,30.0,10.0,EDGE,EDGE,prediction_complete,23.66
914,Stable,84.0,25.0,20.0,7.0,EDGE,EDGE,prediction_complete,23.23
915,Stable,85.0,20.0,39.0,7.0,EDGE,EDGE,prediction_complete,23.66
916,Stable,77.0,18.0,23.0,6.0,EDGE,EDGE,prediction_complete,23.43
917,Stable,78.0,21.0,33.0,9.0,EDGE,EDGE,prediction_complete,23.4
918,Stable,83.0,22.0,29.0,5.0,EDGE,EDGE,prediction_complete,23.74
919,Stable,78.0,19.0,21.0,7.0,EDGE,EDGE,prediction_complete,23.47
920,Stable,84.0,25.0,24.0,1.0,EDGE,EDGE,prediction_complete,23.76
921,Stable,80.0,18.0,33.0,2.0,EDGE,EDGE,prediction_complete,24.2
922,Stable,79.0,25.0,26.0,2.0,EDGE,EDGE,prediction_complete,24.28
923,Stable,75.0,21.0,25.0,5.0,EDGE,EDGE,prediction_complete,24.09
924,Stable,76.0,25.0,23.0,5.0,EDGE,EDGE,prediction_complete,24.13
925,Stable,81.0,25.0,35.0,5.0,EDGE,EDGE,prediction_complete,24.61
926,Stable,76.0,24.0,25.0,6.0,EDGE,EDGE,prediction_complete,24.51
927,Stable,81.0,23.0,25.0,8.0,EDGE,EDGE,prediction_complete,24.18
928,Stable,75.0,22.0,34.0,8.0,EDGE,EDGE,prediction_complete,24.35
929,Stable,79.0,21.0,28.0,10.0,EDGE,EDGE,prediction_complete,24.2
930,Stable,75.0,20.0,23.0,2.0,EDGE,EDGE,prediction_complete,24.5
931,Stable,85.0,23.0,37.0,7.0,EDGE,EDGE,prediction_complete,24.72
932,Stable,84.0,21.0,37.0,1.0,EDGE,EDGE,prediction_complete,25.71
933,Stable,81.0,24.0,37.0,8.0,EDGE,EDGE,prediction_complete,25.32
934,Stable,84.0,21.0,35.0,5.0,EDGE,EDGE,prediction_complete,25.41
935,Stable,76.0,24.0,21.0,9.0,EDGE,EDGE,prediction_complete,24.38
936,Stable,84.0,20.0,23.0,8.0,EDGE,EDGE,prediction_complete,23.81
937,Stable,77.0,20.0,26.0,4.0,EDGE,EDGE,prediction_complete,23.94
938,Stable,77.0,18.0,33.0,2.0,EDGE,EDGE,prediction_complete,24.41
939,Stable,85.0,24.0,26.0,3.0,EDGE,EDGE,prediction_complete,24.71
940,Stable,84.0,22.0,30.0,2.0,EDGE,EDGE,prediction_complete,24.9
941,Stable,76.0,24.0,37.0,7.0,EDGE,EDGE,prediction_complete,24.88
942,Stable,83.0,23.0,28.0,9.0,EDGE,EDGE,prediction_complete,24.22
943,Stable,82.0,18.0,39.0,10.0,EDGE,EDGE,prediction_complete,24.09
944,Stable,83.0,24.0,23.0,7.0,EDGE,EDGE,prediction_complete,23.75
945,Stable,77.0,20.0,38.0,10.0,EDGE,EDGE,prediction_complete,23.84
946,Stable,84.0,19.0,23.0,10.0,EDGE,EDGE,prediction_complete,23.51
947,Stable,76.0,22.0,37.0,6.0,EDGE,EDGE,prediction_complete,23.92
948,Stable,81.0,22.0,32.0,8.0,EDGE,EDGE,prediction_complete,23.8
949,Stable,84.0,25.0,21.0,3.0,EDGE,EDGE,prediction_complete,24.02
950,Stable,79.0,24.0,24.0,10.0,EDGE,EDGE,prediction_complete,23.17
951,Stable,84.0,24.0,21.0,7.0,EDGE,EDGE,prediction_complete,22.67
952,Stable,80.0,21.0,21.0,8.0,EDGE,EDGE,prediction_complete,22.32
953,Stable,79.0,23.0,20.0,6.0,EDGE,EDGE,prediction_complete,22.12
954,Stable,79.0,22.0,28.0,8.0,EDGE,EDGE,prediction_complete,22.2
955,Stable,85.0,19.0,27.0,3.0,EDGE,EDGE,prediction_complete,22.59
956,Stable,79.0,25.0,30.0,5.0,EDGE,EDGE,prediction_complete,23.09
957,Stable,81.0,19.0,26.0,8.0,EDGE,EDGE,prediction_complete,22.58
958,Stable,78.0,24.0,35.0,9.0,EDGE,EDGE,prediction_complete,22.72
959,Stable,80.0,18.0,36.0,3.0,EDGE,EDGE,prediction_complete,23.6
960,Stable,76.0,22.0,36.0,7.0,EDGE,EDGE,prediction_complete,24.01
961,Stable,77.0,18.0,25.0,4.0,EDGE,EDGE,prediction_complete,24.29
962,Stable,78.0,18.0,27.0,1.0,EDGE,EDGE,prediction_complete,24.9
963,Stable,82.0,18.0,31.0,4.0,EDGE,EDGE,prediction_complete,25.14
964,Stable,79.0,23.0,34.0,9.0,EDGE,EDGE,prediction_complete,24.9
965,Stable,81.0,19.0,20.0,4.0,EDGE,EDGE,prediction_complete,24.65
966,Stable,80.0,25.0,39.0,8.0,EDGE,EDGE,prediction_complete,24.68
967,Stable,77.0,25.0,38.0,9.0,EDGE,EDGE,prediction_complete,24.93
968,Stable,80.0,23.0,25.0,5.0,EDGE,EDGE,prediction_complete,24.85
969,Stable,76.0,22.0,20.0,7.0,EDGE,EDGE,prediction_complete,24.19
970,Stable,75.0,20.0,38.0,4.0,EDGE,EDGE,prediction_complete,24.79
971,Stable,78.0,21.0,26.0,5.0,EDGE,EDGE,prediction_complete,24.82
972,Stable,85.0,24.0,36.0,1.0,EDGE,EDGE,prediction_complete,25.87
973,Stable,85.0,18.0,35.0,3.0,EDGE,EDGE,prediction_complete,25.91
974,Stable,85.0,20.0,39.0,1.0,EDGE,EDGE,prediction_complete,26.55
975,Stable,78.0,22.0,39.0,5.0,EDGE,EDGE,prediction_complete,26.59
976,Stable,85.0,22.0,33.0,7.0,EDGE,EDGE,prediction_complete,26.05
977,Stable,80.0,25.0,28.0,4.0,EDGE,EDGE,prediction_complete,25.76
978,Stable,82.0,22.0,36.0,10.0,EDGE,EDGE,prediction_complete,25.32
979,Stable,81.0,19.0,20.0,9.0,EDGE,EDGE,prediction_complete,24.47
980,Stable,85.0,23.0,37.0,10.0,EDGE,EDGE,prediction_complete,24.15
981,Stable,84.0,22.0,29.0,2.0,EDGE,EDGE,prediction_complete,24.56
982,Stable,82.0,19.0,30.0,5.0,EDGE,EDGE,prediction_complete,24.34
983,Stable,85.0,23.0,28.0,5.0,EDGE,EDGE,prediction_complete,24.21
984,Stable,85.0,22.0,26.0,3.0,EDGE,EDGE,prediction_complete,24.04
985,Stable,83.0,21.0,21.0,10.0,EDGE,EDGE,prediction_complete,22.76
986,Stable,81.0,23.0,24.0,1.0,EDGE,EDGE,prediction_complete,23.13
987,Stable,85.0,25.0,29.0,5.0,EDGE,EDGE,prediction_complete,23.1
988,Stable,81.0,24.0,32.0,1.0,EDGE,EDGE,prediction_complete,23.79
989,Stable,84.0,21.0,30.0,4.0,EDGE,EDGE,prediction_complete,24.1
990,Stable,85.0,25.0,31.0,9.0,EDGE,EDGE,prediction_complete,23.74
991,Stable,79.0,20.0,37.0,3.0,EDGE,EDGE,prediction_complete,24.27
992,Stable,79.0,19.0,35.0,3.0,EDGE,EDGE,prediction_complete,24.75
993,Stable,79.0,20.0,30.0,2.0,EDGE,EDGE,prediction_complete,25.16
994,Stable,78.0,23.0,27.0,5.0,EDGE,EDGE,prediction_complete,25.02
995,Stable,81.0,23.0,31.0,5.0,EDGE,EDGE,prediction_complete,25.36
996,Stable,84.0,22.0,34.0,2.0,EDGE,EDGE,prediction_complete,25.82
997,Stable,82.0,18.0,40.0,10.0,EDGE,EDGE,prediction_complete,25.5
998,Stable,84.0,19.0,35.0,4.0,EDGE,EDGE,prediction_complete,25.56
999,Stable,83.0,19.0,32.0,9.0,EDGE,EDGE,prediction_complete,25.02
1000,Stable,79.0,24.0,21.0,3.0,EDGE,EDGE,prediction_complete,24.92
1001,Fluctuating,48.0,55.0,51.0,7.0,CLOUD,EDGE,prediction_complete,26.24
1002,Fluctuating,76.0,88.0,39.0,6.0,EDGE,EDGE,prediction_complete,30.85
1003,Fluctuating,85.0,53.0,79.0,2.0,CLOUD,EDGE,prediction_complete,41.87
1004,Fluctuating,71.0,72.0,70.0,3.0,EDGE,EDGE,prediction_complete,49.62
1005,Fluctuating,60.0,37.0,30.0,8.0,EDGE,EDGE,prediction_complete,47.57
1006,Fluctuating,57.0,56.0,78.0,3.0,CLOUD,CLOUD,prediction_complete,55.55
1007,Fluctuating,76.0,50.0,61.0,2.0,EDGE,EDGE,prediction_complete,58.63
1008,Fluctuating,48.0,85.0,70.0,7.0,CLOUD,CLOUD,prediction_complete,62.42
1009,Fluctuating,65.0,84.0,60.0,7.0,CLOUD,CLOUD,prediction_complete,65.57
1010,Fluctuating,40.0,34.0,64.0,4.0,EDGE,EDGE,prediction_complete,67.62
1011,Fluctuating,86.0,77.0,30.0,6.0,EDGE,EDGE,prediction_complete,66.53
1012,Fluctuating,88.0,97.0,42.0,1.0,EDGE,EDGE,prediction_complete,68.54
1013,Fluctuating,83.0,30.0,70.0,4.0,EDGE,EDGE,prediction_complete,66.48
1014,Fluctuating,54.0,74.0,49.0,3.0,EDGE,EDGE,prediction_complete,65.55
1015,Fluctuating,46.0,79.0,62.0,10.0,CLOUD,CLOUD,prediction_complete,65.33
1016,Fluctuating,59.0,51.0,34.0,1.0,EDGE,EDGE,prediction_complete,64.88
1017,Fluctuating,59.0,67.0,59.0,9.0,CLOUD,CLOUD,prediction_complete,65.35
1018,Fluctuating,78.0,97.0,51.0,7.0,CLOUD,CLOUD,prediction_complete,66.77
1019,Fluctuating,83.0,47.0,51.0,8.0,CLOUD,CLOUD,prediction_complete,64.93
1020,Fluctuating,62.0,54.0,40.0,7.0,EDGE,EDGE,prediction_complete,63.29
1021,Fluctuating,41.0,59.0,44.0,3.0,EDGE,EDGE,prediction_complete,64.99
1022,Fluctuating,53.0,32.0,67.0,9.0,CLOUD,CLOUD,prediction_complete,64.69
1023,Fluctuating,50.0,45.0,53.0,1.0,EDGE,EDGE,prediction_complete,67.14
